wavelength=wavelength(nm)	 angle=AOI	 Psi=Psi	 delta=Delta
wavelength=700.701172	 angle=65.000000	 Psi=17.146379	 delta=177.42815
wavelength=702.277637	 angle=65.000000	 Psi=16.985588	 delta=177.28871
wavelength=703.854004	 angle=65.000000	 Psi=17.070454	 delta=177.12099
wavelength=705.430225	 angle=65.000000	 Psi=17.047611	 delta=177.32486
wavelength=707.006396	 angle=65.000000	 Psi=17.088037	 delta=177.39732
wavelength=708.582373	 angle=65.000000	 Psi=17.031742	 delta=177.27974
wavelength=710.158301	 angle=65.000000	 Psi=16.895969	 delta=177.19975
wavelength=711.734033	 angle=65.000000	 Psi=17.043266	 delta=177.32355
wavelength=713.309717	 angle=65.000000	 Psi=17.105211	 delta=177.45869
wavelength=714.885254	 angle=65.000000	 Psi=16.912851	 delta=177.19786
wavelength=716.460645	 angle=65.000000	 Psi=17.001516	 delta=177.07466
wavelength=718.035938	 angle=65.000000	 Psi=17.064789	 delta=177.34998
wavelength=719.611133	 angle=65.000000	 Psi=16.905733	 delta=177.34738
wavelength=721.186182	 angle=65.000000	 Psi=17.112888	 delta=177.27191
wavelength=722.761084	 angle=65.000000	 Psi=17.10865	 delta=177.36354
wavelength=724.335937	 angle=65.000000	 Psi=16.917431	 delta=176.93159
wavelength=725.910596	 angle=65.000000	 Psi=16.761154	 delta=177.26582
wavelength=727.485156	 angle=65.000000	 Psi=16.961943	 delta=177.61763
wavelength=729.059619	 angle=65.000000	 Psi=16.921572	 delta=177.66011
wavelength=730.633936	 angle=65.000000	 Psi=16.883101	 delta=177.44301
wavelength=732.208105	 angle=65.000000	 Psi=16.807732	 delta=177.20876
wavelength=733.782178	 angle=65.000000	 Psi=16.828638	 delta=177.38077
wavelength=735.356152	 angle=65.000000	 Psi=16.8599	 delta=177.29085
wavelength=736.92998	 angle=65.000000	 Psi=16.95775	 delta=177.39523
wavelength=738.503662	 angle=65.000000	 Psi=16.963301	 delta=177.66049
wavelength=740.077246	 angle=65.000000	 Psi=16.796366	 delta=177.40999
wavelength=741.650684	 angle=65.000000	 Psi=16.75701	 delta=177.25108
wavelength=743.224023	 angle=65.000000	 Psi=16.87348	 delta=177.41592
wavelength=744.797217	 angle=65.000000	 Psi=16.791254	 delta=177.46123
wavelength=746.370264	 angle=65.000000	 Psi=16.790277	 delta=177.34476
wavelength=747.943213	 angle=65.000000	 Psi=16.65391	 delta=177.21626
wavelength=749.516016	 angle=65.000000	 Psi=16.702707	 delta=177.47914
wavelength=751.088721	 angle=65.000000	 Psi=16.729362	 delta=177.5578
wavelength=752.661279	 angle=65.000000	 Psi=16.606762	 delta=177.49168
wavelength=754.23374	 angle=65.000000	 Psi=16.792717	 delta=177.4429
wavelength=755.806055	 angle=65.000000	 Psi=16.6509	 delta=177.41028
wavelength=757.378223	 angle=65.000000	 Psi=16.676596	 delta=177.27811
wavelength=758.950293	 angle=65.000000	 Psi=16.672779	 delta=177.48579
wavelength=760.522217	 angle=65.000000	 Psi=16.836023	 delta=177.65543
wavelength=762.093994	 angle=65.000000	 Psi=16.711664	 delta=177.57384
wavelength=763.665674	 angle=65.000000	 Psi=16.641026	 delta=177.45146
wavelength=765.237256	 angle=65.000000	 Psi=16.59222	 delta=177.42937
wavelength=766.808643	 angle=65.000000	 Psi=16.582945	 delta=177.33536
wavelength=768.379932	 angle=65.000000	 Psi=16.68285	 delta=177.70944
wavelength=769.951123	 angle=65.000000	 Psi=16.618975	 delta=177.81381
wavelength=771.522119	 angle=65.000000	 Psi=16.706327	 delta=177.79057
wavelength=773.093018	 angle=65.000000	 Psi=16.595459	 delta=177.28377
wavelength=774.663818	 angle=65.000000	 Psi=16.530067	 delta=177.24112
wavelength=776.234473	 angle=65.000000	 Psi=16.475048	 delta=177.42917
wavelength=777.80498	 angle=65.000000	 Psi=16.444778	 delta=177.59959
wavelength=779.375342	 angle=65.000000	 Psi=16.431286	 delta=177.86781
wavelength=780.945605	 angle=65.000000	 Psi=16.653175	 delta=177.62044
wavelength=782.515723	 angle=65.000000	 Psi=16.631094	 delta=177.42665
wavelength=784.085742	 angle=65.000000	 Psi=16.649506	 delta=177.44247
wavelength=785.655615	 angle=65.000000	 Psi=16.441891	 delta=177.73434
wavelength=787.225342	 angle=65.000000	 Psi=16.340563	 delta=177.59154
